Tweet,Suicide
making some lunch,0
@Alexia You want his money.,0
@dizzyhrvy that crap took me forever to put together. iâm going to go sleep for DAYS,1
@jnaylor #kiwitweets Hey Jer! Since when did you start twittering?,0
"@ValenValdez Oh, that's good to hear. But is it over already? Or you'll continue it after the Holy week?",0
time for some warsaw beer garden chilling,0
I hate my life lmao I hope I die soon or sumn I'm too tired of everything,1
"Everything your lover does for you is for her survival, everything your mother does for you is for your survival.",0
"There is a stray cat on campus that looks like Garfield. The students are always feeding him, so he is very fat. Like me.",0
is on the go...,0
@rivensky Haha. Well I have more but I don't have to do anything but file the rest away or delete them.,0
@Turbizzle Goooooood hwo're you?,0
"@AkwesiQuan,,RT @animeesay: I want to say ill never be active again. Not quite sure, i dont have any reason to be on here anymore anyways bye everyone tâ¦",1
Focus on opportunities more than you focus on money.,0
SOMEBODY PLEASE FUCKING KILL ME IM SO IN LOVE https://t.co/WbVmmKzDDh,1
Iâm at the point of the semester where Iâm so tired of everything. I just want to roll over and die.,1
"@sadegsi,ger/rus/eng,I want to die so much, I dont want to be here anymore",1
i am going to kill myself right now i am sorry you are feeling so desperate,1
"@earlydetection enjoy I just can't get into it this season, but happy to know that you're getting your groove on.",0
Really fuckin want this portion of my life to be over.,1
I'm VERY VERY hungry! Don't anyone on my timeline dare to talk about food :@ Or I'll seriously eat you up!,0
Mom always used to want everyone home before dark – as though anything was out there at night that wasn't there during the day.,0
@gailia I think you'll do whatever you want.,0
"@swingie Just had a conversation with @tonimassaar about how 'dependent' we seem to be of internet and mobile phones nowadays,",0
"@jrkgirlnla Oh yes, I was reading that one",0
My life is so miserable and it's not getting better.,1
She is not tired.,0
RT @tamicakeyona: Being a single mommy was never part of the plan but I wake up everyday and do my shitðªð¾,1
I want money,0
"@HeavenlyHev how was it, so I know what to expect?",0
Mmm mummy's culinary skills has been improving. Smells so good! i'm loving home cooked food!,0
i need to put myself to rest i ve crashed my motorcycle today i don t know how but i m mostly fine it was the most beautiful moment of my life i know it s sick to think that but it felt good to see people approach me to help me after the crash the feeling of my body being dragged by my bike for several meters on the ground looking at the sky while this one song played in my earphonesi ve just felt emptiness for the past yearsi don t want this second chance i want to get on my broken bike bring it up to speed one last time and then just end it all i just don t want to drown anymore please,1
Brushin' mah teef. Secularly.,0
i'll be in london today. Wave if you see me,0
@PeoplemapsJulie I am looking for the berocca then all will be well,0
@nellypt Thank you I thought it was. Pass it around. Have a great day Luv ur stuff,0
I fucking hate my whole family all they do is making me feel fat and I'm so done with feeling bad about my body andâ¦ https://t.co/eXWykCGcrf,1
"@MarkusLarockus Ha ha I started something with the Rocquestar thing, didn't I??",0
@ErikAbele The one we were looking out for?,0
he want to kill her.,0
u - understand what the fuck im doing wrong with my life,1
"@RachelStarrxxx AWWWWWW, i really wish i could be there to give ya some serious TLC Rachel hun....sending ya huge HUGZ AND KISSES",0
@JoannaButler he should tell them that his sister fixed it,0
"Congratulations, John! I'm a creepy actor, not a sweet actor",0
@fancyelastic He he! Thanks,0
in the photoshop,0
@MizFitOnline normal workday for me. I do still have plans/aspirations to submit some info for the miz mag - honest i do.,0
"i'm tired,",0
My Cullen family jewellery set arrived this morning! So happy!,0
Getting ready to take kids to the farm,0
@StacyonBob I ate candy cigarettes but I didn't eat the wax once I drank the coke. I did however eat the candy lips.,0
I damn near hate smoking by myself but sometimes I like it cause I canât finish blunts and I be having some for later.,1
is going to get some cereallllllll will be living off Lucky Charms next week! WOOPWOOP!,0
